,Nama Kabupaten/Kota,Total Sampah
0,KABUPATEN BOGOR,
1,KABUPATEN SUKABUMI,
2,KABUPATEN CIANJUR,
3,KABUPATEN BANDUNG,
4,KABUPATEN GARUT,
5,KABUPATEN TASIKMALAYA,
6,KABUPATEN CIAMIS,
7,KABUPATEN KUNINGAN,
8,KABUPATEN CIREBON,
9,KABUPATEN MAJALENGKA,
10,KABUPATEN SUMEDANG,
11,KABUPATEN INDRAMAYU,
12,KABUPATEN SUBANG,
13,KABUPATEN PURWAKARTA,
14,KABUPATEN KARAWANG,
15,KABUPATEN BEKASI,
16,KABUPATEN BANDUNG BARAT,
17,KABUPATEN PANGANDARAN,
18,KOTA BOGOR,
19,KOTA SUKABUMI,
20,KOTA BANDUNG,
21,KOTA CIREBON,
22,KOTA BEKASI,
23,KOTA DEPOK,
24,KOTA CIMAHI,
25,KOTA TASIKMALAYA,
26,KOTA BANJAR,
